	grid_num	northeast	southwest	raw_data	keywords	addresses	landmarks	subregion	streets
42	43	(47.70524973561584, 9.304166381157495)	(47.70255144968887, 9.300166128040434)	[]	[]	[]	[]	[]	[]
43	44	(47.7052496659934, 9.308163746219355)	(47.702551380072975, 9.304163286822904)	[]	[]	[]	[]	[]	[]
44	45	(47.70524959637096, 9.312161111275891)	(47.702551310457075, 9.308160445600052)	[]	[]	[]	[]	[]	[]
45	46	(47.70255235471522, 9.256198)	(47.69985406743476, 9.252200222235707)	[]	[]	[]	[]	[]	[]
46	47	(47.70255228509932, 9.260195158851651)	(47.6998539978254, 9.25619717483808)	[]	[]	[]	[]	[]	[]
47	48	(47.70255221548343, 9.264192317697983)	(47.699853928216044, 9.260194127435133)	[]	[]	[]	[]	[]	[]
48	49	(47.70255214586754, 9.268189476538993)	(47.699853858606694, 9.264191080026865)	[{'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.26677, 47.70147]}, 'Interpolated': False, 'Label': 'FRISTO Getränkemarkt, Dr.-Zimmermann-Straße 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Grocery'}, {'AddressNumber': '18', 'Country': 'DEU', 'Geometry': {'Point': [9.26677, 47.70147]}, 'Interpolated': False, 'Label': 'NORMA, Dr.-Zimmermann-Straße 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Grocery'}, {'Country': 'DEU', 'Geometry': {'Point': [9.26663, 47.70113]}, 'Interpolated': False, 'Label': 'Parkplatz Fristo Getränke, Dr.-Zimmermann-Straße, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Parking'}]	['Grocery', 'Parking']	['Dr.-Zimmermann-Straße 18, 88709, Meersburg, Baden-Württemberg, DEU', 'Dr.-Zimmermann-Straße, 88709, Meersburg, Baden-Württemberg, DEU']	['FRISTO Getränkemarkt', 'NORMA', 'Parkplatz Fristo Getränke']	['Bodenseekreis']	['Dr.-Zimmermann-Straße']
49	50	(47.70255207625165, 9.27218663537468)	(47.699853788997345, 9.268188032613278)	[{'AddressNumber': '41', 'Country': 'DEU', 'Geometry': {'Point': [9.26858, 47.70212]}, 'Interpolated': False, 'Label': 'Zum Letzten Heller, Daisendorfer Straße 41, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Daisendorfer Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'AddressNumber': '41', 'Country': 'DEU', 'Geometry': {'Point': [9.26858, 47.70212]}, 'Interpolated': False, 'Label': 'Zum Letzten Heller, Daisendorfer Straße 41, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Daisendorfer Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}, {'AddressNumber': '7', 'Country': 'DEU', 'Geometry': {'Point': [9.26866, 47.70029]}, 'Interpolated': False, 'Label': 'Dr. med. Reinhold Ast, Dr.-Zimmermann-Straße 7, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Medical Clinic'}, {'AddressNumber': '7', 'Country': 'DEU', 'Geometry': {'Point': [9.26866, 47.70029]}, 'Interpolated': False, 'Label': 'Dr. med. Wolfgang Zifreund, Dr.-Zimmermann-Straße 7, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Medical Clinic'}, {'Country': 'DEU', 'Geometry': {'Point': [9.27006, 47.70204]}, 'Interpolated': False, 'Label': 'Allmendweg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Allmend weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Parking'}, {'Country': 'DEU', 'Geometry': {'Point': [9.27211, 47.70126]}, 'Interpolated': False, 'Label': 'Allmend, Allmendweg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Allmend weg', 'SubRegion': 'Bodenseekreis', 'Category': 'Parking'}, {'AddressNumber': '41', 'Country': 'DEU', 'Geometry': {'Point': [9.26858, 47.70212]}, 'Interpolated': False, 'Label': 'Zum Letzten Heller, Daisendorfer Straße 41, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Daisendorfer Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Restaurant'}, {'AddressNumber': '7', 'Country': 'DEU', 'Geometry': {'Point': [9.26866, 47.70029]}, 'Interpolated': False, 'Label': 'Alanya Pizzeria Kebap Haus, Dr.-Zimmermann-Straße 7, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Dr.-Zimmermann -Straße', 'SubRegion': 'Bodenseekreis', 'Category': 'Restaurant'}]	['Hotel', 'Lodging', 'Medical Clinic', 'Parking', 'Restaurant']	['Daisendorfer Straße 41, 88709, Meersburg, Baden-Württemberg, DEU', 'Dr.-Zimmermann-Straße 7, 88709, Meersburg, Baden-Württemberg, DEU', '88709, Meersburg, Baden-Württemberg, DEU', 'Allmendweg, 88709, Meersburg, Baden-Württemberg, DEU']	['Zum Letzten Heller', 'Dr. med. Reinhold Ast', 'Dr. med. Wolfgang Zifreund', 'Allmendweg', 'Allmend', 'Alanya Pizzeria Kebap Haus']	['Bodenseekreis']	['DaisendorferStraße', 'Dr.-Zimmermann-Straße', 'Allmendweg']
50	51	(47.70255200663575, 9.276183794205046)	(47.699853719387995, 9.27218498519437)	[{'Country': 'DEU', 'Geometry': {'Point': [9.2759, 47.70003]}, 'Interpolated': False, 'Label': 'Ferienhaus Epple, Fohrenberg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Fohren berg', 'SubRegion': 'Bodenseekreis', 'Category': 'Hotel'}, {'Country': 'DEU', 'Geometry': {'Point': [9.2759, 47.70003]}, 'Interpolated': False, 'Label': 'Ferienhaus Epple, Fohrenberg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Fohren berg', 'SubRegion': 'Bodenseekreis', 'Category': 'Lodging'}, {'Country': 'DEU', 'Geometry': {'Point': [9.27425, 47.7011]}, 'Interpolated': False, 'Label': 'Kindergarten Betreute Spielgruppe im Familientreff Meersburg, Allmendweg, 88709, Meersburg, Baden-Württemberg, DEU', 'Municipality': 'Meersburg', 'PostalCode': '88709', 'Region': 'Baden-Württemberg', 'Street': 'Allmend weg', 'SubRegion': 'Bodenseekreis', 'Category': 'School'}]	['Hotel', 'Lodging', 'School']	['Fohrenberg, 88709, Meersburg, Baden-Württemberg, DEU', 'Allmendweg, 88709, Meersburg, Baden-Württemberg, DEU']	['Ferienhaus Epple', 'Kindergarten Betreute Spielgruppe im Familientreff Meersburg']	['Bodenseekreis']	['Fohrenberg', 'Allmendweg']
51	52	(47.70255193701985, 9.28018095303009)	(47.69985364977864, 9.276181937770142)	[]	[]	[]	[]	[]	[]
